DATE,EUR
29/12/1978,137.1
5/1/1979,138.4
12/1/1979,134.1
19/1/1979,141.1
26/1/1979,144.6
2/2/1979,143.5
9/2/1979,151.3
16/2/1979,152.2
23/2/1979,154.4
2/3/1979,152.8
9/3/1979,148.4
16/3/1979,150.8
23/3/1979,149.7
30/3/1979,148.0
6/4/1979,148.5
13/4/1979,145.9
20/4/1979,147.7
27/4/1979,151.2
4/5/1979,154.5
11/5/1979,156.7
18/5/1979,161.1
25/5/1979,170.0
1/6/1979,172.7
8/6/1979,175.5
15/6/1979,174.1
22/6/1979,173.7
29/6/1979,169.0
6/7/1979,176.5
13/7/1979,174.1
20/7/1979,180.5
27/7/1979,184.6
3/8/1979,173.6
10/8/1979,183.5
17/8/1979,182.0
24/8/1979,190.3
31/8/1979,190.4
7/9/1979,197.7
14/9/1979,208.3
21/9/1979,218.7
28/9/1979,233.2
5/10/1979,228.5
12/10/1979,237.4
19/10/1979,236.9
26/10/1979,227.1
2/11/1979,224.9
9/11/1979,235.2
16/11/1979,234.2
23/11/1979,233.8
30/11/1979,244.9
7/12/1979,255.9
14/12/1979,269.8
21/12/1979,278.6
28/12/1979,299.0
4/1/1980,342.6
11/1/1980,363.7
18/1/1980,488.0
25/1/1980,392.4
1/2/1980,398.9
8/2/1980,407.2
15/2/1980,391.9
22/2/1980,373.4
29/2/1980,381.5
7/3/1980,368.7
14/3/1980,322.6
21/3/1980,331.0
28/3/1980,315.8
4/4/1980,318.0
11/4/1980,335.4
18/4/1980,323.5
25/4/1980,339.0
2/5/1980,316.7
9/5/1980,312.7
16/5/1980,315.6
23/5/1980,309.1
30/5/1980,323.1
6/6/1980,358.2
13/6/1980,364.0
20/6/1980,362.8
27/6/1980,383.6
4/7/1980,399.0
11/7/1980,397.1
18/7/1980,362.0
25/7/1980,387.4
1/8/1980,379.3
8/8/1980,382.1
15/8/1980,380.0
22/8/1980,393.7
29/8/1980,386.5
5/9/1980,396.9
12/9/1980,417.8
19/9/1980,414.1
26/9/1980,431.2
3/10/1980,409.0
10/10/1980,422.8
17/10/1980,420.3
24/10/1980,401.0
31/10/1980,404.9
7/11/1980,392.9
14/11/1980,396.5
21/11/1980,415.5
28/11/1980,406.7
5/12/1980,410.9
12/12/1980,382.2
19/12/1980,379.7
26/12/1980,398.5
2/1/1981,396.1
9/1/1981,388.9
16/1/1981,382.6
23/1/1981,381.4
30/1/1981,363.3
6/2/1981,361.9
13/2/1981,367.4
20/2/1981,366.9
27/2/1981,358.0
6/3/1981,343.3
13/3/1981,357.7
20/3/1981,369.0
27/3/1981,396.4
3/4/1981,385.6
10/4/1981,368.1
17/4/1981,365.6
24/4/1981,374.3
1/5/1981,373.1
8/5/1981,379.2
15/5/1981,389.0
22/5/1981,380.1
29/5/1981,386.1
5/6/1981,384.5
12/6/1981,391.8
19/6/1981,377.8
26/6/1981,365.3
3/7/1981,346.3
