timestamp,Rain_(mm),Reservoir_(m)
1/2/2019 23:59,0.0,9.51
2/2/2019 23:59,0.0,9.59
3/2/2019 23:59,0.0,9.59
4/2/2019 23:59,0.0,10.12
5/2/2019 23:59,0.0,10.28
6/2/2019 23:59,0.0,10.28
7/2/2019 23:59,0.0,10.35
8/2/2019 23:59,0.0,10.2
9/2/2019 23:59,0.0,10.35
10/2/2019 23:59,0.0,10.28
11/2/2019 23:59,0.0,10.12
12/2/2019 23:59,3.0,11.34
13/2/2019 23:59,0.0,10.58
14/2/2019 23:59,0.0,10.35
15/2/2019 23:59,0.0,10.28
16/2/2019 23:59,0.0,10.12
17/2/2019 23:59,0.0,10.35
18/2/2019 23:59,0.0,10.28
19/2/2019 23:59,0.0,10.35
20/2/2019 23:59,0.0,10.2
21/2/2019 23:59,0.0,10.12
22/2/2019 23:59,0.0,9.97
23/2/2019 23:59,6.4,11.95
24/2/2019 23:59,0.0,10.28
25/2/2019 23:59,0.0,10.35
26/2/2019 23:59,0.0,10.12
27/2/2019 23:59,0.0,10.2
28/2/2019 23:59,0.0,10.2
1/3/2019 23:59,0.0,10.35
2/3/2019 23:59,10.6,15.61
3/3/2019 23:59,2.0,11.27
4/3/2019 23:59,0.2,10.81
5/3/2019 23:59,0.2,11.19
6/3/2019 23:59,0.0,10.28
7/3/2019 23:59,0.0,10.35
8/3/2019 23:59,0.2,10.73
9/3/2019 23:59,0.0,10.35
10/3/2019 23:59,2.4,11.88
11/3/2019 23:59,0.0,10.43
12/3/2019 23:59,3.0,12.79
13/3/2019 23:59,0.2,10.35
14/3/2019 23:59,0.0,10.35
15/3/2019 23:59,0.0,10.28
16/3/2019 23:59,0.0,10.12
17/3/2019 23:59,0.0,10.35
18/3/2019 23:59,0.0,10.28
19/3/2019 23:59,0.0,10.35
20/3/2019 23:59,0.0,10.2
21/3/2019 23:59,0.0,10.12
22/3/2019 23:59,0.0,9.97
23/3/2019 23:59,0.0,11.95
24/3/2019 23:59,0.0,10.28
25/3/2019 23:59,0.0,10.35
26/3/2019 23:59,0.0,10.12
27/3/2019 23:59,3.0,12.1
28/3/2019 23:59,0.0,10.66
29/3/2019 23:59,0.0,10.73
30/3/2019 23:59,0.0,10.35
31/3/2019 23:59,0.0,10.28
1/4/2019 23:59,0.0,10.35
2/4/2019 23:59,0.0,10.66
3/4/2019 23:59,3.2,10.35
4/4/2019 23:59,0.0,10.73
5/4/2019 23:59,0.0,10.43
6/4/2019 23:59,0.0,10.35
7/4/2019 23:59,0.0,10.35
8/4/2019 23:59,0.0,10.28
9/4/2019 23:59,0.0,10.35
10/4/2019 23:59,0.0,10.43
11/4/2019 23:59,0.0,10.35
12/4/2019 23:59,0.0,10.35
13/4/2019 23:59,0.0,10.73
14/4/2019 23:59,0.0,10.35
15/4/2019 23:59,0.0,10.73
16/4/2019 23:59,0.0,10.66
17/4/2019 23:59,0.0,10.73
18/4/2019 23:59,0.0,10.35
19/4/2019 23:59,0.0,10.73
20/4/2019 23:59,0.0,10.66
21/4/2019 23:59,54.8,13.32
22/4/2019 23:59,0.2,11.57
23/4/2019 23:59,0.2,11.42
24/4/2019 23:59,0.0,11.19
25/4/2019 23:59,5.4,11.57
26/4/2019 23:59,15.0,11.88
27/4/2019 23:59,4.0,13.1
28/4/2019 23:59,13.2,12.94
29/4/2019 23:59,0.2,11.19
30/4/2019 23:59,4.8,10.35
1/5/2019 23:59,0.0,10.35
2/5/2019 23:59,0.6,10.89
3/5/2019 23:59,0.0,10.28
4/5/2019 23:59,0.0,10.43
5/5/2019 23:59,6.2,12.18
6/5/2019 23:59,0.0,10.58
7/5/2019 23:59,0.0,10.35
