date,cat1,cat2,cat3,cat4,sum
1/8/15 0:00,0,156,5,7,168
1/8/15 1:00,0,118,4,4,126
1/8/15 2:00,0,115,7,6,128
1/8/15 3:00,0,102,6,7,115
1/8/15 4:00,0,95,13,1,109
1/8/15 5:00,2,151,13,4,170
1/8/15 6:00,6,194,11,4,215
1/8/15 7:00,4,358,18,6,386
1/8/15 8:00,4,412,14,11,441
1/8/15 9:00,5,612,19,9,645
1/8/15 10:00,6,782,23,13,824
1/8/15 11:00,9,890,8,5,912
1/8/15 12:00,7,989,15,12,1023
1/8/15 13:00,8,902,20,12,942
1/8/15 14:00,21,862,12,11,906
1/8/15 15:00,7,686,8,9,710
1/8/15 16:00,2,626,15,15,658
1/8/15 17:00,8,604,18,6,636
1/8/15 18:00,7,542,15,10,574
1/8/15 19:00,2,560,14,4,580
1/8/15 20:00,6,491,13,1,511
1/8/15 21:00,5,325,13,7,350
1/8/15 22:00,8,245,6,4,263
1/8/15 23:00,0,214,7,6,227
2/8/15 0:00,1,190,9,7,207
2/8/15 1:00,1,140,10,5,156
2/8/15 2:00,0,96,5,1,102
2/8/15 3:00,0,111,4,2,117
2/8/15 4:00,0,106,8,1,115
2/8/15 5:00,0,136,5,6,147
2/8/15 6:00,4,190,5,8,207
2/8/15 7:00,1,293,13,10,317
2/8/15 8:00,3,495,15,10,523
2/8/15 9:00,19,728,16,6,769
2/8/15 10:00,12,727,16,11,766
2/8/15 11:00,3,798,13,14,828
2/8/15 12:00,6,943,7,12,968
2/8/15 13:00,7,812,15,15,849
2/8/15 14:00,13,698,15,16,742
2/8/15 15:00,23,724,10,13,770
2/8/15 16:00,6,733,13,17,769
2/8/15 17:00,3,657,17,24,701
2/8/15 18:00,7,754,12,14,787
2/8/15 19:00,9,797,11,10,827
2/8/15 20:00,3,665,16,12,696
2/8/15 21:00,3,477,15,11,506
2/8/15 22:00,1,304,8,4,317
2/8/15 23:00,3,237,10,15,265
3/8/15 0:00,0,191,16,10,217
3/8/15 1:00,4,210,12,10,236
3/8/15 2:00,0,104,9,6,119
3/8/15 3:00,0,111,9,3,123
3/8/15 4:00,1,121,9,4,135
3/8/15 5:00,2,158,7,9,176
3/8/15 6:00,4,259,15,17,295
3/8/15 7:00,3,340,13,4,360
3/8/15 8:00,5,440,11,15,471
3/8/15 9:00,3,539,20,12,574
3/8/15 10:00,7,667,23,15,712
3/8/15 11:00,10,745,19,24,798
3/8/15 12:00,11,760,11,22,804
3/8/15 13:00,7,768,20,14,809
3/8/15 14:00,3,670,21,17,711
3/8/15 15:00,9,595,12,14,630
3/8/15 16:00,6,594,16,15,631
3/8/15 17:00,2,544,19,10,575
3/8/15 18:00,4,403,23,17,447
3/8/15 19:00,4,351,17,10,382
3/8/15 20:00,4,306,7,15,332
3/8/15 21:00,6,239,12,4,261
3/8/15 22:00,0,190,12,7,209
3/8/15 23:00,1,130,9,13,153
4/8/15 0:00,0,104,6,8,118
4/8/15 1:00,0,81,15,7,103
4/8/15 2:00,0,59,9,3,71
4/8/15 3:00,0,64,10,5,79
4/8/15 4:00,0,69,5,12,86
4/8/15 5:00,0,64,13,9,86
4/8/15 6:00,1,148,19,11,179
4/8/15 7:00,0,245,18,14,277
4/8/15 8:00,4,320,12,10,346
4/8/15 9:00,5,429,19,15,468
4/8/15 10:00,7,456,16,14,493
4/8/15 11:00,2,616,16,28,662
4/8/15 12:00,6,565,17,30,618
4/8/15 13:00,16,516,13,21,566
4/8/15 14:00,2,474,15,16,507
4/8/15 15:00,6,459,20,22,507
4/8/15 16:00,5,421,18,23,467
4/8/15 17:00,9,457,20,15,501
4/8/15 18:00,7,411,17,18,453
4/8/15 19:00,7,475,13,20,515
4/8/15 20:00,2,322,11,9,344
4/8/15 21:00,1,218,10,14,243
4/8/15 22:00,3,232,7,13,255
4/8/15 23:00,3,148,7,12,170
5/8/15 0:00,0,143,6,10,159
5/8/15 1:00,0,83,15,10,108
5/8/15 2:00,0,66,10,6,82
5/8/15 3:00,0,48,8,4,60
5/8/15 4:00,0,64,7,5,76
5/8/15 5:00,0,93,5,12,110
5/8/15 6:00,1,144,21,13,179
5/8/15 7:00,1,253,10,12,276
5/8/15 8:00,2,341,21,18,382
5/8/15 9:00,4,472,21,15,512
5/8/15 10:00,9,642,21,17,689
5/8/15 11:00,6,630,21,27,684
5/8/15 12:00,8,642,26,28,704
5/8/15 13:00,4,563,19,28,614
5/8/15 14:00,4,541,17,25,587
5/8/15 15:00,2,502,26,13,543
5/8/15 16:00,7,466,14,11,498
5/8/15 17:00,3,457,19,20,499
5/8/15 18:00,5,403,15,26,449
5/8/15 19:00,9,429,15,17,470
5/8/15 20:00,4,373,8,12,397
5/8/15 21:00,1,324,10,9,344
5/8/15 22:00,0,216,14,14,244
5/8/15 23:00,0,172,10,9,191
6/8/15 0:00,0,168,11,12,191
6/8/15 1:00,0,99,4,14,117
6/8/15 2:00,1,95,8,4,108
6/8/15 3:00,0,78,10,5,93
6/8/15 4:00,0,85,9,8,102
6/8/15 5:00,0,91,10,12,113
6/8/15 6:00,0,203,13,10,226
6/8/15 7:00,1,339,25,7,372
6/8/15 8:00,4,448,21,12,485
6/8/15 9:00,5,511,24,9,549
6/8/15 10:00,8,610,25,19,662
6/8/15 11:00,3,681,19,26,729
6/8/15 12:00,4,685,21,21,731
6/8/15 13:00,4,632,21,27,684
6/8/15 14:00,5,566,20,27,618
6/8/15 15:00,5,564,25,24,618
6/8/15 16:00,4,547,22,27,600
6/8/15 17:00,2,519,21,18,560
6/8/15 18:00,5,466,21,22,514
6/8/15 19:00,8,425,12,18,463
6/8/15 20:00,3,382,9,15,409
6/8/15 21:00,2,290,20,16,328
6/8/15 22:00,3,253,10,10,276
6/8/15 23:00,1,204,13,20,238
7/8/15 0:00,0,143,9,12,164
7/8/15 1:00,1,134,15,16,166
7/8/15 2:00,2,109,12,6,129
7/8/15 3:00,0,113,9,10,132
7/8/15 4:00,0,96,7,7,110
7/8/15 5:00,0,120,6,6,132
7/8/15 6:00,3,194,21,10,228
7/8/15 7:00,3,329,15,10,357
7/8/15 8:00,5,410,13,8,436
7/8/15 9:00,2,506,15,17,540
7/8/15 10:00,3,599,24,14,640
7/8/15 11:00,9,751,20,16,796
7/8/15 12:00,7,755,23,29,814
7/8/15 13:00,6,726,30,33,795
7/8/15 14:00,9,804,30,31,874
7/8/15 15:00,10,710,29,19,768
7/8/15 16:00,8,672,11,15,706
7/8/15 17:00,7,698,16,12,733
7/8/15 18:00,10,594,26,16,646
7/8/15 19:00,9,594,17,20,640
7/8/15 20:00,4,394,19,4,421
7/8/15 21:00,1,336,16,5,358
7/8/15 22:00,2,290,11,11,314
7/8/15 23:00,2,231,10,7,250
8/8/15 0:00,3,204,3,7,217
8/8/15 1:00,1,145,8,6,160
8/8/15 2:00,0,143,10,3,156
8/8/15 3:00,0,126,10,2,138
8/8/15 4:00,0,98,5,4,107
8/8/15 5:00,1,129,2,5,137
8/8/15 6:00,1,207,11,7,226
8/8/15 7:00,3,323,17,4,347
8/8/15 8:00,9,445,12,13,479
8/8/15 9:00,7,589,13,13,622
8/8/15 10:00,6,775,25,14,820
