date;sum
1/8/15 0:00;168
1/8/15 1:00;126
1/8/15 2:00;128
1/8/15 3:00;115
1/8/15 4:00;109
1/8/15 5:00;170
1/8/15 6:00;215
1/8/15 7:00;386
1/8/15 8:00;441
1/8/15 9:00;645
1/8/15 10:00;824
1/8/15 11:00;912
1/8/15 12:00;1023
1/8/15 13:00;942
1/8/15 14:00;906
1/8/15 15:00;710
1/8/15 16:00;658
1/8/15 17:00;636
1/8/15 18:00;574
1/8/15 19:00;580
1/8/15 20:00;511
1/8/15 21:00;350
1/8/15 22:00;263
1/8/15 23:00;227
2/8/15 0:00;207
2/8/15 1:00;156
2/8/15 2:00;102
2/8/15 3:00;117
2/8/15 4:00;115
2/8/15 5:00;147
2/8/15 6:00;207
2/8/15 7:00;317
2/8/15 8:00;523
2/8/15 9:00;769
2/8/15 10:00;766
2/8/15 11:00;828
2/8/15 12:00;968
2/8/15 13:00;849
2/8/15 14:00;742
2/8/15 15:00;770
2/8/15 16:00;769
2/8/15 17:00;701
2/8/15 18:00;787
2/8/15 19:00;827
2/8/15 20:00;696
2/8/15 21:00;506
2/8/15 22:00;317
2/8/15 23:00;265
3/8/15 0:00;217
3/8/15 1:00;236
3/8/15 2:00;119
3/8/15 3:00;123
3/8/15 4:00;135
3/8/15 5:00;176
3/8/15 6:00;295
3/8/15 7:00;360
3/8/15 8:00;471
3/8/15 9:00;574
3/8/15 10:00;712
3/8/15 11:00;798
3/8/15 12:00;804
3/8/15 13:00;809
3/8/15 14:00;711
3/8/15 15:00;630
3/8/15 16:00;631
3/8/15 17:00;575
3/8/15 18:00;447
3/8/15 19:00;382
3/8/15 20:00;332
3/8/15 21:00;261
3/8/15 22:00;209
3/8/15 23:00;153
4/8/15 0:00;118
4/8/15 1:00;103
4/8/15 2:00;71
4/8/15 3:00;79
4/8/15 4:00;86
4/8/15 5:00;86
4/8/15 6:00;179
4/8/15 7:00;277
4/8/15 8:00;346
4/8/15 9:00;468
4/8/15 10:00;493
4/8/15 11:00;662
4/8/15 12:00;618
4/8/15 13:00;566
4/8/15 14:00;507
4/8/15 15:00;507
4/8/15 16:00;467
4/8/15 17:00;501
4/8/15 18:00;453
4/8/15 19:00;515
4/8/15 20:00;344
4/8/15 21:00;243
4/8/15 22:00;255
4/8/15 23:00;170
5/8/15 0:00;159
5/8/15 1:00;108
5/8/15 2:00;82
5/8/15 3:00;60
5/8/15 4:00;76
5/8/15 5:00;110
5/8/15 6:00;179
5/8/15 7:00;276
5/8/15 8:00;382
5/8/15 9:00;512
5/8/15 10:00;689
5/8/15 11:00;684
5/8/15 12:00;704
5/8/15 13:00;614
5/8/15 14:00;587
5/8/15 15:00;543
5/8/15 16:00;498
5/8/15 17:00;499
5/8/15 18:00;449
5/8/15 19:00;470
5/8/15 20:00;397
5/8/15 21:00;344
5/8/15 22:00;244
5/8/15 23:00;191
6/8/15 0:00;191
6/8/15 1:00;117
6/8/15 2:00;108
6/8/15 3:00;93
6/8/15 4:00;102
6/8/15 5:00;113
6/8/15 6:00;226
6/8/15 7:00;372
6/8/15 8:00;485
6/8/15 9:00;549
6/8/15 10:00;662
6/8/15 11:00;729
6/8/15 12:00;731
6/8/15 13:00;684
6/8/15 14:00;618
6/8/15 15:00;618
6/8/15 16:00;600
6/8/15 17:00;560
6/8/15 18:00;514
6/8/15 19:00;463
6/8/15 20:00;409
6/8/15 21:00;328
6/8/15 22:00;276
6/8/15 23:00;238
7/8/15 0:00;164
7/8/15 1:00;166
7/8/15 2:00;129
7/8/15 3:00;132
7/8/15 4:00;110
7/8/15 5:00;132
7/8/15 6:00;228
7/8/15 7:00;357
7/8/15 8:00;436
7/8/15 9:00;540
7/8/15 10:00;640
7/8/15 11:00;796
7/8/15 12:00;814
7/8/15 13:00;795
7/8/15 14:00;874
7/8/15 15:00;768
7/8/15 16:00;706
7/8/15 17:00;733
7/8/15 18:00;646
7/8/15 19:00;640
7/8/15 20:00;421
7/8/15 21:00;358
7/8/15 22:00;314
7/8/15 23:00;250
8/8/15 0:00;217
8/8/15 1:00;160
8/8/15 2:00;156
8/8/15 3:00;138
8/8/15 4:00;107
8/8/15 5:00;137
8/8/15 6:00;226
8/8/15 7:00;347
8/8/15 8:00;479
8/8/15 9:00;622
8/8/15 10:00;820
8/8/15 11:00;957
8/8/15 12:00;964
8/8/15 13:00;928
8/8/15 14:00;760
8/8/15 15:00;711
8/8/15 16:00;756
8/8/15 17:00;660
8/8/15 18:00;598
8/8/15 19:00;475
8/8/15 20:00;429
8/8/15 21:00;338
8/8/15 22:00;274
8/8/15 23:00;241
9/8/15 0:00;205
9/8/15 1:00;166
9/8/15 2:00;133
9/8/15 3:00;161
9/8/15 4:00;118
9/8/15 5:00;163
9/8/15 6:00;199
9/8/15 7:00;351
9/8/15 8:00;599
9/8/15 9:00;682
9/8/15 10:00;924
9/8/15 11:00;945
9/8/15 12:00;947
9/8/15 13:00;801
9/8/15 14:00;713
9/8/15 15:00;644
9/8/15 16:00;671
9/8/15 17:00;606
9/8/15 18:00;702
9/8/15 19:00;754
9/8/15 20:00;629
9/8/15 21:00;440
9/8/15 22:00;349
9/8/15 23:00;240
10/8/15 0:00;286
10/8/15 1:00;149
10/8/15 2:00;89
10/8/15 3:00;90
10/8/15 4:00;112
10/8/15 5:00;130
10/8/15 6:00;271
10/8/15 7:00;330
10/8/15 8:00;395
10/8/15 9:00;546
10/8/15 10:00;706
10/8/15 11:00;828
10/8/15 12:00;905
10/8/15 13:00;765
10/8/15 14:00;670
10/8/15 15:00;510
10/8/15 16:00;563
10/8/15 17:00;553
10/8/15 18:00;495
10/8/15 19:00;465
10/8/15 20:00;401
10/8/15 21:00;270
10/8/15 22:00;211
10/8/15 23:00;166
11/8/15 0:00;112
11/8/15 1:00;85
11/8/15 2:00;75
11/8/15 3:00;76
11/8/15 4:00;70
11/8/15 5:00;82
11/8/15 6:00;134
11/8/15 7:00;268
11/8/15 8:00;361
11/8/15 9:00;475
11/8/15 10:00;603
11/8/15 11:00;681
11/8/15 12:00;725
11/8/15 13:00;601
11/8/15 14:00;512
11/8/15 15:00;506
11/8/15 16:00;491
11/8/15 17:00;522
11/8/15 18:00;507
11/8/15 19:00;587
11/8/15 20:00;371
11/8/15 21:00;262
11/8/15 22:00;222
11/8/15 23:00;171
12/8/15 0:00;112
12/8/15 1:00;95
12/8/15 2:00;64
12/8/15 3:00;56
12/8/15 4:00;75
12/8/15 5:00;105
12/8/15 6:00;156
12/8/15 7:00;282
12/8/15 8:00;391
12/8/15 9:00;499
12/8/15 10:00;688
12/8/15 11:00;741
12/8/15 12:00;737
12/8/15 13:00;585
12/8/15 14:00;641
12/8/15 15:00;513
12/8/15 16:00;523
12/8/15 17:00;494
12/8/15 18:00;531
12/8/15 19:00;441
12/8/15 20:00;383
12/8/15 21:00;316
12/8/15 22:00;234
12/8/15 23:00;166
13/8/15 0:00;140
13/8/15 1:00;131
13/8/15 2:00;85
13/8/15 3:00;74
13/8/15 4:00;89
13/8/15 5:00;108
13/8/15 6:00;217
13/8/15 7:00;292
13/8/15 8:00;418
13/8/15 9:00;535
13/8/15 10:00;720
13/8/15 11:00;799
13/8/15 12:00;776
13/8/15 13:00;717
13/8/15 14:00;685
13/8/15 15:00;559
13/8/15 16:00;614
13/8/15 17:00;570
13/8/15 18:00;562
13/8/15 19:00;534
13/8/15 20:00;409
13/8/15 21:00;370
13/8/15 22:00;294
13/8/15 23:00;201
14/8/15 0:00;168
14/8/15 1:00;154
14/8/15 2:00;110
14/8/15 3:00;124
14/8/15 4:00;91
14/8/15 5:00;128
14/8/15 6:00;195
14/8/15 7:00;345
14/8/15 8:00;407
14/8/15 9:00;558
14/8/15 10:00;785
14/8/15 11:00;875
14/8/15 12:00;911
14/8/15 13:00;838
14/8/15 14:00;939
14/8/15 15:00;790
14/8/15 16:00;836
14/8/15 17:00;806
14/8/15 18:00;743
14/8/15 19:00;659
14/8/15 20:00;497
14/8/15 21:00;394
14/8/15 22:00;372
14/8/15 23:00;226
15/8/15 0:00;192
15/8/15 1:00;135
15/8/15 2:00;75
15/8/15 3:00;108
15/8/15 4:00;92
15/8/15 5:00;140
15/8/15 6:00;174
15/8/15 7:00;315
15/8/15 8:00;415
15/8/15 9:00;550
15/8/15 10:00;713
15/8/15 11:00;813
15/8/15 12:00;889
15/8/15 13:00;760
15/8/15 14:00;618
15/8/15 15:00;512
15/8/15 16:00;488
15/8/15 17:00;533
15/8/15 18:00;442
15/8/15 19:00;418
15/8/15 20:00;377
15/8/15 21:00;289
15/8/15 22:00;249
15/8/15 23:00;189
16/8/15 0:00;156
16/8/15 1:00;125
16/8/15 2:00;97
16/8/15 3:00;84
16/8/15 4:00;94
16/8/15 5:00;140
16/8/15 6:00;174
16/8/15 7:00;341
16/8/15 8:00;590
16/8/15 9:00;883
16/8/15 10:00;911
16/8/15 11:00;1101
16/8/15 12:00;1106
16/8/15 13:00;992
16/8/15 14:00;883
16/8/15 15:00;858
16/8/15 16:00;764
16/8/15 17:00;942
16/8/15 18:00;879
16/8/15 19:00;926
16/8/15 20:00;798
16/8/15 21:00;545
16/8/15 22:00;359
16/8/15 23:00;254
17/8/15 0:00;316
17/8/15 1:00;182
17/8/15 2:00;104
17/8/15 3:00;78
17/8/15 4:00;91
17/8/15 5:00;121
17/8/15 6:00;235
17/8/15 7:00;404
17/8/15 8:00;456
17/8/15 9:00;655
17/8/15 10:00;854
17/8/15 11:00;972
17/8/15 12:00;1026
17/8/15 13:00;894
17/8/15 14:00;782
17/8/15 15:00;661
17/8/15 16:00;688
17/8/15 17:00;653
17/8/15 18:00;547
17/8/15 19:00;526
17/8/15 20:00;441
17/8/15 21:00;324
17/8/15 22:00;242
17/8/15 23:00;151
18/8/15 0:00;169
18/8/15 1:00;122
18/8/15 2:00;78
18/8/15 3:00;76
18/8/15 4:00;71
18/8/15 5:00;86
18/8/15 6:00;176
18/8/15 7:00;265
18/8/15 8:00;376
18/8/15 9:00;534
18/8/15 10:00;634
18/8/15 11:00;733
18/8/15 12:00;666
18/8/15 13:00;597
18/8/15 14:00;602
18/8/15 15:00;513
18/8/15 16:00;522
18/8/15 17:00;543
18/8/15 18:00;502
18/8/15 19:00;688
18/8/15 20:00;413
18/8/15 21:00;340
18/8/15 22:00;233
18/8/15 23:00;182
19/8/15 0:00;139
19/8/15 1:00;108
19/8/15 2:00;80
19/8/15 3:00;62
19/8/15 4:00;60
19/8/15 5:00;110
19/8/15 6:00;168
19/8/15 7:00;212
19/8/15 8:00;332
19/8/15 9:00;518
19/8/15 10:00;859
19/8/15 11:00;664
19/8/15 12:00;681
19/8/15 13:00;607
19/8/15 14:00;696
19/8/15 15:00;508
19/8/15 16:00;519
19/8/15 17:00;556
19/8/15 18:00;494
19/8/15 19:00;423
19/8/15 20:00;368
19/8/15 21:00;289
19/8/15 22:00;247
19/8/15 23:00;191
20/8/15 0:00;143
20/8/15 1:00;105
20/8/15 2:00;98
20/8/15 3:00;99
20/8/15 4:00;85
20/8/15 5:00;114
20/8/15 6:00;196
20/8/15 7:00;329
20/8/15 8:00;394
20/8/15 9:00;567
20/8/15 10:00;668
20/8/15 11:00;756
20/8/15 12:00;731
20/8/15 13:00;731
20/8/15 14:00;693
20/8/15 15:00;681
20/8/15 16:00;711
20/8/15 17:00;668
20/8/15 18:00;563
