P1_B2004,P1_B2016,P1_B3004,P1_B3005,P1_B4002,P1_B4005,P1_B400B,P1_B4022,P1_FCV01D,P1_FCV01Z,P1_FCV02D,P1_FCV02Z,P1_FCV03D,P1_FCV03Z,P1_FT01,P1_FT01Z,P1_FT02,P1_FT02Z,P1_FT03,P1_FT03Z,P1_LCV01D,P1_LCV01Z,P1_LIT01,P1_PCV01D,P1_PCV01Z,P1_PCV02D,P1_PCV02Z,P1_PIT01,P1_PIT02,P1_PP01AD,P1_PP01AR,P1_TIT01,P1_TIT02,P2_24Vdc,P2_CO_rpm,P2_HILout,P2_MSD,P2_SIT01,P2_SIT02,P2_VT01,P2_VXT02,P2_VXT03,P2_VYT02,P2_VYT03,P3_FIT01,P3_LCP01D,P3_LCV01D,P3_LIT01,P3_PIT01,P4_HT_FD,P4_HT_LD,P4_HT_PO,P4_HT_PS,P4_LD,P4_ST_FD,P4_ST_GOV,P4_ST_LD,P4_ST_PO,P4_ST_PS,P4_ST_PT01,P4_ST_TT01,class
0.10178,1.58771,403.78854,985.37353,32.59527,100,2839.5852,36.8101,100,99.91608,0,-1.86768,50.90726,51.95007,176.08643,845.6955,1978.72156,2843.37549,243.38802,989.14117,10.8929,10.8429,402.70947,40.74125,41.32233,12,12.26196,1.34293,0.27557,540833,540833,34.8877,35.1471,28.03162,54116,725.21362,763.19324,790,789.76508,11.9104,-2.8687,-1.0189,3.7751,5.633,-25,688,15888,18082,-23,0.00029,76.80121,73.58581,0,464.0661,0.0047,20469,386.26666,380.31683,0,10044,27567,0
0.10178,1.58725,403.78854,985.37353,32.59527,100,2843.37549,36.80895,100,99.91608,0,-1.86768,50.74607,51.96533,173.79756,840.47705,1986.92322,2845.06006,243.00656,992.62018,10.80512,10.8429,402.81174,40.86124,41.32233,12,12.26196,1.34216,0.2771,540833,540833,34.8877,35.1471,28.02301,54114,721.74072,763.19324,789,789.13147,11.98856,-2.9842,-1.2637,3.1689,5.4158,-25,648,15952,18043,-23,0.00051,76.92419,73.89325,0,464.22888,0.0021,20489,386.30286,380.02747,0,10040,27564,0
0.10178,1.59519,403.78854,985.37353,32.59527,100,2845.06006,36.82879,100,99.91608,0,-1.86768,50.66229,51.96533,174.56052,835.25842,1978.72156,2837.33911,242.81586,993.92468,10.80029,10.8429,402.76062,41.02906,41.32233,12,12.26196,1.34369,0.2771,540833,540833,34.8877,35.1471,28.02993,54082,718.15796,763.19324,786,785.81653,11.974,-3.4939,-1.5398,2.9615,5.5532,-25,616,16000,18024,-23,0.00022,77.04715,74.20068,0,466.90533,0.0013,20604,389.73883,381.5285,0,10037,27565,0
0.10178,1.59747,403.78854,985.37353,32.59527,100,2837.33911,36.83451,100,99.91608,0,-1.86768,50.66462,51.98822,176.6586,836.99799,1977.76782,2843.37549,242.43439,993.05493,10.80579,10.8429,402.81174,41.15958,41.32233,12,12.26196,1.34445,0.27557,540833,540833,34.8877,35.1471,28.02993,54109,716.38794,763.19324,785,785.42438,11.92999,-3.8188,-1.6212,3.1285,5.7833,-25,584,16064,17985,-23,0.00022,77.17014,74.43579,0,466.79688,0,20633,388.94311,382.08911,0,10040,27560,0
0.10178,1.59869,403.78854,985.37353,32.59527,100,2843.37549,36.83756,100,99.90845,0,-1.86768,50.65214,51.90429,175.89565,841.78162,1972.42725,2837.33911,242.81586,992.62018,10.81415,10.8429,402.91394,41.28887,41.21552,12,12.26196,1.34293,0.2771,540833,540833,34.90295,35.1471,28.0299,54111,714.66675,763.19324,783,782.99249,11.86934,-3.9858,-1.5631,3.4986,6.0309,-25,552,16112,17954,-23,0,77.29312,74.74322,0,467.8819,-0.00043,20738,389.72082,383.44543,0,10042,27564,0
0.10178,1.59717,403.78854,985.37353,32.59527,100,2837.33911,36.83375,100,99.91608,0,-1.86768,50.65969,51.94244,174.36981,840.04205,1991.31006,2836.63721,242.62509,991.75043,10.74636,10.8429,403.01621,41.416,41.20789,12,12.26196,1.34293,0.27634,540833,540833,34.8877,35.1471,28.03078,54101,716.47339,763.19324,782,782.47815,11.808,-3.8611,-1.3759,3.9022,6.1763,-25,528,16160,17915,-23,0.00029,77.35822,75.05066,0,466.59796,0.00289,20690,388.00275,383.49969,0,10039,27562,0
0.10178,1.60159,403.78854,985.37353,32.59527,100,2836.63721,36.84481,100,99.90845,0,-1.86768,50.59765,51.97296,175.13277,836.56317,1985.01575,2832.70654,243.19733,992.62018,10.72779,10.8429,403.06729,41.56635,41.20789,12,12.26196,1.34445,0.27634,540833,540833,34.90295,35.16236,28.02993,54153,714.65454,763.19324,785,785.01923,11.80738,-3.5476,-1.1795,4.1485,6.1388,-25,504,16208,17889,-23,0.00022,77.41608,75.30377,0,465.63946,-0.00109,20715,388.87079,383.138,0,10037,27567,0
0.10178,1.60419,403.78854,985.37353,32.59527,100,2832.70654,36.8513,100,99.90845,0,-1.86768,50.58693,51.97296,177.23079,838.30273,1966.896,2846.60425,243.19733,992.18518,10.64787,10.8429,403.16956,41.70129,41.76483,12,12.26196,1.34979,0.27634,540833,540833,34.8877,35.1471,28.02473,54122,725.21973,763.19324,788,788.18091,11.86916,-2.9976,-1.0166,4.0158,5.8245,-25,472,16224,17865,-23,0.00029,77.43057,75.50275,0,464.71716,-0.00043,20689,386.61029,383.08374,0,10040,27564,0
0.10178,1.60342,403.78854,985.37353,32.59527,100,2846.60425,36.84939,100,99.90845,0,-1.86768,50.50488,51.97296,175.32347,843.08618,1975.28845,2841.97168,243.76949,993.48993,10.60738,10.8429,403.16956,41.79911,42.48962,12,12.26196,1.35513,0.2771,540833,540833,34.8877,35.16236,28.02899,54119,709.375,763.19324,786,786.43866,11.95859,-2.8684,-1.1606,3.4043,5.4822,-25,448,16256,17829,-23,0,77.41608,75.66553,0,463.30652,0.00116,20681,385.39856,383.31885,0,10043,27567,0
0.10178,1.60175,403.78854,985.37353,32.59527,100,2841.97168,36.84519,100,99.91608,0,-1.86005,50.47242,51.97296,174.75128,838.73749,1991.50073,2828.6355,243.19733,993.48993,10.52999,10.8429,403.42511,41.88908,42.52014,12,12.26196,1.35513,0.27634,540833,540833,34.8877,35.1471,28.03081,54063,697.19238,763.19324,785,784.7627,11.99621,-3.1901,-1.4129,3.0182,5.4415,-25,432,16288,17807,-23,0.00029,77.38715,75.81018,0,462.34808,0.00318,20634,385.88684,383.21039,0,10052,27560,0
