date,sum_day
1/8/2015,11619
2/8/2015,12451
3/8/2015,10160
4/8/2015,8114
5/8/2015,8857
6/8/2015,9786
7/8/2015,11149
8/8/2015,11500
9/8/2015,12142
10/8/2015,9906
11/8/2015,8499
12/8/2015,8828
13/8/2015,9899
14/8/2015,11951
15/8/2015,9486
16/8/2015,14002
17/8/2015,11403
18/8/2015,9121
19/8/2015,8891
20/8/2015,10106
21/8/2015,11666
22/8/2015,10924
23/8/2015,12190
24/8/2015,9678
25/8/2015,8741
26/8/2015,9704
27/8/2015,10499
28/8/2015,12363
29/8/2015,11446
30/8/2015,12656
31/8/2015,9981
1/9/2015,8617
2/9/2015,7969
3/9/2015,8302
4/9/2015,10218
5/9/2015,9569
6/9/2015,10782
7/9/2015,8016
8/9/2015,6917
9/9/2015,7352
10/9/2015,7438
11/9/2015,7812
12/9/2015,7359
13/9/2015,8276
14/9/2015,6034
15/9/2015,5576
16/9/2015,5714
17/9/2015,6747
18/9/2015,8087
19/9/2015,7049
20/9/2015,8380
21/9/2015,7361
22/9/2015,6341
23/9/2015,5765
24/9/2015,5728
25/9/2015,6915
26/9/2015,6467
27/9/2015,7633
28/9/2015,5597
29/9/2015,4875
30/9/2015,5373
1/10/2015,5831
2/10/2015,7040
3/10/2015,6306
4/10/2015,7566
5/10/2015,5724
6/10/2015,4797
7/10/2015,4897
8/10/2015,5159
9/10/2015,6421
10/10/2015,5625
11/10/2015,6316
12/10/2015,4994
13/10/2015,4898
14/10/2015,4998
15/10/2015,5226
16/10/2015,6291
17/10/2015,5837
18/10/2015,6869
19/10/2015,4893
20/10/2015,4571
21/10/2015,4606
22/10/2015,4720
23/10/2015,6015
24/10/2015,6008
25/10/2015,5979
26/10/2015,4848
27/10/2015,4598
28/10/2015,4889
29/10/2015,5072
30/10/2015,5687
31/10/2015,4856
1/11/2015,6761
2/11/2015,4951
3/11/2015,4388
4/11/2015,4381
5/11/2015,4596
6/11/2015,6039
7/11/2015,5432
8/11/2015,6245
9/11/2015,4845
10/11/2015,4434
11/11/2015,4839
12/11/2015,4812
13/11/2015,6717
14/11/2015,5240
15/11/2015,6078
16/11/2015,4570
17/11/2015,4339
18/11/2015,4666
19/11/2015,4697
20/11/2015,5664
21/11/2015,4774
22/11/2015,5438
23/11/2015,4480
24/11/2015,4223
25/11/2015,4649
26/11/2015,5159
27/11/2015,6063
28/11/2015,4947
29/11/2015,5751
30/11/2015,4498
1/12/2015,4157
2/12/2015,4306
3/12/2015,4431
4/12/2015,5653
5/12/2015,4631
6/12/2015,5545
7/12/2015,4471
8/12/2015,4304
9/12/2015,4246
10/12/2015,4658
11/12/2015,5379
12/12/2015,4804
13/12/2015,5221
14/12/2015,4091
15/12/2015,4263
16/12/2015,4851
17/12/2015,4750
18/12/2015,5577
19/12/2015,5179
20/12/2015,5339
21/12/2015,4587
22/12/2015,4860
23/12/2015,7020
24/12/2015,7325
25/12/2015,3289
26/12/2015,5369
27/12/2015,8269
28/12/2015,6376
29/12/2015,6233
30/12/2015,6299
31/12/2015,4450
1/1/2016,2816
2/1/2016,5190
3/1/2016,6661
4/1/2016,4229
5/1/2016,4367
6/1/2016,4428
7/1/2016,4527
8/1/2016,4715
9/1/2016,5160
10/1/2016,6217
11/1/2016,4440
12/1/2016,4120
13/1/2016,4128
14/1/2016,4234
15/1/2016,5132
16/1/2016,4414
