date,sum_day
2015-08-01,11619
2015-08-02,12451
2015-08-03,10160
2015-08-04,8114
2015-08-05,8857
2015-08-06,9786
2015-08-07,11149
2015-08-08,11500
2015-08-09,12142
2015-08-10,9906
2015-08-11,8499
2015-08-12,8828
2015-08-13,9899
2015-08-14,11951
2015-08-15,9486
2015-08-16,14002
2015-08-17,11403
2015-08-18,9121
2015-08-19,8891
2015-08-20,10106
2015-08-21,11666
2015-08-22,10924
2015-08-23,12190
2015-08-24,9678
2015-08-25,8741
2015-08-26,9704
2015-08-27,10499
2015-08-28,12363
2015-08-29,11446
2015-08-30,12656
2015-08-31,9981
2015-09-01,8617
2015-09-02,7969
2015-09-03,8302
2015-09-04,10218
2015-09-05,9569
2015-09-06,10782
2015-09-07,8016
2015-09-08,6917
2015-09-09,7352
2015-09-10,7438
2015-09-11,7812
2015-09-12,7359
2015-09-13,8276
2015-09-14,6034
2015-09-15,5576
2015-09-16,5714
2015-09-17,6747
2015-09-18,8087
2015-09-19,7049
2015-09-20,8380
2015-09-21,7361
2015-09-22,6341
2015-09-23,5765
2015-09-24,5728
2015-09-25,6915
2015-09-26,6467
2015-09-27,7633
2015-09-28,5597
2015-09-29,4875
2015-09-30,5373
2015-10-01,5831
2015-10-02,7040
2015-10-03,6306
2015-10-04,7566
2015-10-05,5724
2015-10-06,4797
2015-10-07,4897
2015-10-08,5159
2015-10-09,6421
2015-10-10,5625
2015-10-11,6316
2015-10-12,4994
2015-10-13,4898
2015-10-14,4998
2015-10-15,5226
2015-10-16,6291
2015-10-17,5837
2015-10-18,6869
2015-10-19,4893
2015-10-20,4571
2015-10-21,4606
2015-10-22,4720
2015-10-23,6015
2015-10-24,6008
2015-10-25,5979
2015-10-26,4848
2015-10-27,4598
2015-10-28,4889
2015-10-29,5072
2015-10-30,5687
2015-10-31,4856
2015-11-01,6761
2015-11-02,4951
2015-11-03,4388
2015-11-04,4381
2015-11-05,4596
2015-11-06,6039
2015-11-07,5432
2015-11-08,6245
2015-11-09,4845
2015-11-10,4434
2015-11-11,4839
2015-11-12,4812
2015-11-13,6717
2015-11-14,5240
2015-11-15,6078
2015-11-16,4570
2015-11-17,4339
2015-11-18,4666
2015-11-19,4697
2015-11-20,5664
2015-11-21,4774
2015-11-22,5438
2015-11-23,4480
2015-11-24,4223
2015-11-25,4649
2015-11-26,5159
2015-11-27,6063
2015-11-28,4947
2015-11-29,5751
2015-11-30,4498
2015-12-01,4157
2015-12-02,4306
2015-12-03,4431
2015-12-04,5653
2015-12-05,4631
2015-12-06,5545
2015-12-07,4471
2015-12-08,4304
2015-12-09,4246
2015-12-10,4658
2015-12-11,5379
2015-12-12,4804
2015-12-13,5221
2015-12-14,4091
2015-12-15,4263
2015-12-16,4851
2015-12-17,4750
2015-12-18,5577
2015-12-19,5179
2015-12-20,5339
2015-12-21,4587
2015-12-22,4860
2015-12-23,7020
2015-12-24,7325
2015-12-25,3289
2015-12-26,5369
2015-12-27,8269
2015-12-28,6376
2015-12-29,6233
2015-12-30,6299
2015-12-31,4450
2016-01-01,2816
2016-01-02,5190
