timestamp,Total.Capacity.Charged,Total.Capacity.Discharged,State.of.charge,CMU.s.Temperature.Low,CMU.s.Temperature.High,CMU.s.Temperature.Average,System.Temperature,Current.Peak.Charge,Current.Peak.Discharge,Current.Mean,State.of.health,Battery.Voltage,Cell.Voltage.Low,Cell.Voltage.High,Cell.Voltage.Avg
2021-05-31 21:01:02,125023.5000,123272.7000,97.0000,35.3000,37.4000,36.6000,49.5000,236.8000,0.0000,235.7000,100.0000,54.7600,3.4054,3.4243,3.4139
2021-05-31 21:31:02,125045.0000,123272.8000,100.0000,36.4000,38.6000,37.4000,39.9000,232.1000,-0.4000,42.8000,100.0000,54.2600,3.3326,3.4640,3.3902
2021-05-31 22:01:02,125047.3000,123272.9000,100.0000,36.1000,38.1000,37.0000,36.1000,56.6000,-0.3000,4.3000,100.0000,55.1900,3.4450,3.4537,3.4500
2021-05-31 22:31:02,125048.2000,123273.0000,100.0000,35.4000,37.6000,36.5000,34.6000,45.0000,-0.3000,1.5000,100.0000,55.1700,3.4426,3.4513,3.4486
2021-05-31 23:01:02,125048.7000,123273.1000,100.0000,35.0000,37.0000,36.1000,33.7000,43.1000,-0.3000,0.8000,100.0000,54.6500,3.3946,3.4218,3.4163
2021-05-31 23:31:02,125048.7000,123273.2000,100.0000,34.6000,36.6000,35.7000,33.2000,0.0000,-0.3000,-0.2000,100.0000,53.8200,3.3420,3.3708,3.3647
2021-06-01 00:01:02,125048.7000,123273.3000,100.0000,34.3000,36.1000,35.3000,32.7000,0.0000,-0.3000,-0.2000,100.0000,53.5600,3.3222,3.3608,3.3483
2021-06-01 00:31:02,125048.7000,123273.4000,100.0000,33.9000,35.7000,34.8000,32.3000,0.0000,-0.3000,-0.2000,100.0000,53.4500,3.3257,3.3469,3.3416
2021-06-01 01:01:02,125048.7000,123273.5000,100.0000,33.6000,35.2000,34.5000,32.0000,0.0000,-0.3000,-0.2000,100.0000,53.3900,3.3248,3.3422,3.3377
2021-06-01 01:31:02,125048.7000,123273.6000,100.0000,33.3000,34.9000,34.2000,31.7000,0.0000,-0.3000,-0.2000,100.0000,53.3500,3.3248,3.3389,3.3351
2021-06-01 02:01:02,125048.7000,123273.7000,100.0000,32.9000,34.6000,33.8000,31.5000,0.0000,-0.3000,-0.2000,100.0000,53.3200,3.3247,3.3363,3.3332
2021-06-01 02:31:02,125048.7000,123273.8000,100.0000,32.6000,34.2000,33.5000,31.2000,0.0000,-0.3000,-0.2000,100.0000,53.2900,3.3246,3.3344,3.3317
2021-06-01 04:01:22,125048.7000,123273.9000,100.0000,31.4000,32.8000,32.1000,29.2000,0.0000,-0.5000,-0.4000,100.0000,53.2800,3.3310,3.3342,3.3330
2021-06-01 04:31:22,125049.5000,123291.6000,95.0000,31.0000,32.5000,31.8000,29.1000,136.5000,-302.5000,-33.9000,100.0000,53.1000,3.3176,3.3208,3.3197
2021-06-01 05:01:22,125050.3000,123308.6000,91.0000,30.7000,32.2000,31.5000,29.3000,133.3000,-353.3000,-32.2000,100.0000,53.0300,3.3143,3.3166,3.3156
