FH,SH,TH,DY,Fb,OH,UP,DK,DJ,class
-1,0.142857,-0.25,-0.25,-0.989507,-0.409787,0.981277,-0.424718,0.965648,1
-0.142857,-0.789474,-0.8,-0.666667,-0.998299,-0.286132,0.999675,0.991964,0.993383,1
-0.714286,-0.789474,0,-0.166667,-0.994048,-0.348291,0.976113,-1,0.964434,1
-1,-0.789474,-1,-1,-0.997449,0.310831,-1,0.986939,0.983643,1
-1,-0.578947,-0.4,-0.5,-0.994048,-0.180772,0.999379,-0.555547,0.997943,1
-1,-0.894737,-1,-1,-0.997449,-0.347543,-1,0.954371,0.941393,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.687228,0.998643,-0.547406,0.987383,1
-1,-0.789474,-1,-1,-0.996599,-0.344982,-1,0.996395,0.989146,1
-1,-0.684211,-0.4,-0.5,-1,0.900407,0.99042,-1,0.994343,1
0.2,-0.714286,0,0,-0.995803,-0.133307,0.939535,-1,0.803846,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.681037,0.999476,-0.547406,0.993539,1
-1,-0.789474,-0.6,-0.666667,-1,-0.299981,0.982869,0.999111,0.986584,1
-1,-0.428571,-0.5,-0.5,-0.989507,-0.264757,0.83767,-1,0.486084,0
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.301028,0.999677,0.986684,0.998609,1
-1,-0.428571,-0.5,-0.5,-0.993704,-0.458044,0.999476,0.99146,0.98995,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.673348,0.999598,-0.54929,0.994938,1
-0.142857,-0.894737,-1,-0.833333,-0.997449,-0.235049,0.998198,-0.777773,0.996598,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.6847,0.998567,-0.545674,0.987129,1
0.142857,-1,-1,-0.833333,-0.895408,-0.903018,0.597204,0.07114,0.664291,0
-0.142857,-0.894737,-1,-1,-0.997449,-0.937376,-1,0.999729,0.997803,1
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.270886,0.980467,-1,0.976988,1
-1,-0.142857,-0.25,-0.25,-0.983211,-0.463871,0.996066,-1,0.973824,1
-0.142857,-0.578947,-0.6,-0.5,-0.886905,-0.881265,0.476561,0.896098,0.682655,0
-0.714286,-0.894737,-0.6,-0.666667,-0.997449,0.058065,0.997026,-1,0.996272,1
-1,-0.684211,-1,-1,-0.990646,-0.787431,-1,0.959179,0.905362,1
-1,-0.684211,0.2,0,-0.993197,-0.245916,0.974143,-1,0.944611,1
-0.142857,-0.894737,-0.6,-0.666667,-0.997449,-0.378451,0.997014,0.984115,0.993843,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.681449,0.998741,-0.547406,0.984517,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.680845,0.998626,-0.547406,0.990205,1
-0.6,-0.714286,-0.5,-0.5,-0.993704,-0.701246,0.994479,0.529321,0.82272,1
-0.428571,-1,-0.8,-0.833333,-0.997449,-0.687228,0.998643,-0.547406,0.979707,1
-0.714286,-0.684211,0.4,0.166667,-0.998299,-0.201388,0.999192,-1,0.997307,1
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.577175,0.069894,0.991288,0.947232,1
-1,-0.894737,-0.4,-0.5,-0.994898,-0.164335,0.998914,0.915079,0.994738,1
-0.714286,-0.894737,-0.8,-0.833333,-0.988095,-0.344562,0.960837,0.918416,0.902279,1
-0.714286,-0.894737,-0.8,-0.833333,-0.994048,-0.568042,-0.16944,0.991288,0.950905,1
-0.428571,-1,-0.6,-0.666667,-0.995748,-0.427503,0.983019,-1,0.973133,1
